count,sum,name
6604,201593283844,Action
3508,200400691723,Adventure
1943,67723916923,Animation
13191,166966016647,Comedy
4309,63485783515,Crime
3936,1449528578,Documentary
20305,160925060796,Drama
2776,107505642022,Family
2321,104227581014,Fantasy
1628,291633311,Foreign
1398,14902198420,History
4674,30837094673,Horror
1599,13370292367,Music
2475,34754614989,Mystery
6743,73572689260,Romance
3058,98049778404,Science Fiction
7634,129965245747,Thriller
769,42000000,TV Movie
1325,15910458338,War
1042,5122498884,Western
