index,budget,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count,success_level,success,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,total_votes,total_stars,avg_stars
1,30000000,862,tt0114709,en,Toy Story,21.946943,1995-10-30 00:00:00,373554033,81,Toy Story,7.7,5415,60000000,t,441,804,438,2083,1584,11577,5741,22020,5325,15995,66008,256649.5,3.8881574960610834
2,65000000,8844,tt0113497,en,Jumanji,17.015539,1995-12-15 00:00:00,262797249,104,Jumanji,6.9,2413,130000000,t,263,797,525,2479,1810,8510,2916,6035,690,2035,26060,84355,3.2369531849577897
3,0,15602,tt0113228,en,Grumpier Old Men,11.7129,1995-12-22 00:00:00,0,101,Grumpier Old Men,6.5,92,0,t,169,772,233,1665,616,6213,759,3433,154,1483,15497,49211.5,3.1755501064722202
4,16000000,31357,tt0114885,en,Waiting to Exhale,3.859495,1995-12-22 00:00:00,81452156,127,Waiting to Exhale,6.1,34,32000000,t,47,351,31,496,77,1133,66,557,12,211,2981,8572.5,2.8757128480375713
5,0,11862,tt0113041,en,Father of the Bride Part II,8.387519,1995-02-10 00:00:00,76578911,106,Father of the Bride Part II,5.7,173,0,t,237,785,270,1716,664,6608,723,2959,166,1130,15258,46988,3.079564818455892
6,60000000,949,tt0113277,en,Heat,17.924927,1995-12-15 00:00:00,187436818,170,Heat,7.7,1886,120000000,t,41,336,66,997,387,6657,1878,9381,2158,5994,27895,107166,3.841763756945689
7,58000000,11860,tt0114319,en,Sabrina,6.677277,1995-12-15 00:00:00,0,127,Sabrina,6.2,141,116000000,f,138,402,154,1176,469,5950,728,4094,239,1807,15157,51111,3.372105297882167
8,0,45325,tt0112302,en,Tom and Huck,2.561161,1995-12-22 00:00:00,0,97,Tom and Huck,5.4,45,0,t,14,85,12,178,52,663,58,317,13,129,1521,4759.5,3.1291913214990137
9,35000000,9091,tt0114576,en,Sudden Death,5.23158,1995-12-22 00:00:00,64350171,106,Sudden Death,5.5,174,70000000,f,25,309,57,585,140,2083,87,851,17,269,4423,13306,3.008365362875876
10,58000000,710,tt0113189,en,GoldenEye,14.686036,1995-11-16 00:00:00,352194034,130,GoldenEye,6.6,1194,116000000,t,156,622,215,2001,1021,12067,2793,9759,876,3024,32534,111651.5,3.431840536054589
11,62000000,9087,tt0112346,en,The American President,6.318445,1995-11-17 00:00:00,107879496,106,The American President,6.5,199,124000000,f,69,326,91,906,434,5633,1148,7107,508,3253,19475,71290,3.6605905006418484
12,0,12110,tt0112896,en,Dracula: Dead and Loving It,5.430331,1995-12-22 00:00:00,0,88,Dracula: Dead and Loving It,5.7,210,0,t,103,673,117,845,231,1408,221,563,58,256,4475,11958,2.6721787709497207
13,0,21032,tt0112453,en,Balto,12.140733,1995-12-22 00:00:00,11348324,78,Balto,7.1,423,0,t,20,66,17,155,93,632,157,426,79,193,1838,6114,3.326441784548422
14,44000000,10858,tt0113987,en,Nixon,5.092,1995-12-22 00:00:00,13681765,192,Nixon,7.1,72,88000000,f,30,248,29,472,95,2586,265,2175,110,797,6807,23353.5,3.4308065226972233
15,98000000,1408,tt0112760,en,Cutthroat Island,7.284477,1995-12-22 00:00:00,10017322,119,Cutthroat Island,5.7,137,196000000,f,59,424,87,531,136,1101,135,485,29,138,3125,8522,2.72704
16,52000000,524,tt0112641,en,Casino,10.137389,1995-11-22 00:00:00,116112375,178,Casino,7.8,1343,104000000,t,69,264,92,771,482,4190,2005,7078,2081,3485,20517,77872.5,3.7955110396256764
17,16500000,4584,tt0114388,en,Sense and Sensibility,10.673167,1995-12-13 00:00:00,135000000,136,Sense and Sensibility,7.2,364,33000000,t,110,517,61,789,221,4649,1034,8426,963,7522,24292,96007.5,3.9522270706405402
18,4000000,5,tt0113101,en,Four Rooms,9.026586,1995-12-09 00:00:00,4300000,98,Four Rooms,6.5,539,8000000,f,33,300,58,503,214,1728,579,1587,364,724,6090,20761,3.409031198686371
19,30000000,9273,tt0112281,en,Ace Ventura: When Nature Calls,8.205448,1995-11-10 00:00:00,212385533,90,Ace Ventura: When Nature Calls,6.1,1128,60000000,t,1083,3358,1012,3949,1694,6769,1804,2856,513,1174,24212,63774,2.633983148851809
20,60000000,11517,tt0113845,en,Money Train,7.337906,1995-11-21 00:00:00,35431113,103,Money Train,5.4,224,120000000,f,52,299,109,726,277,1942,272,737,41,166,4621,13373.5,2.894070547500541
21,30250000,8012,tt0113161,en,Get Shorty,12.669608,1995-10-20 00:00:00,115101622,105,Get Shorty,6.4,305,60500000,t,100,553,132,1550,558,7793,1502,9118,589,3612,25507,91114.5,3.572137060414788
22,0,1710,tt0112722,en,Copycat,10.701801,1995-10-27 00:00:00,0,124,Copycat,6.5,199,0,t,113,283,164,951,572,3926,828,3044,204,941,11026,36392.5,3.3006076546345002
23,50000000,9691,tt0112401,en,Assassins,11.065939,1995-10-06 00:00:00,30303072,132,Assassins,6,394,100000000,f,29,226,84,518,249,1834,343,1107,83,323,4796,15144,3.157631359466222
24,0,12665,tt0114168,en,Powder,12.133094,1995-10-27 00:00:00,0,111,Powder,6.3,143,0,t,150,468,191,1076,434,2906,652,2191,211,852,9131,29040,3.1803745482422516
25,3600000,451,tt0113627,en,Leaving Las Vegas,10.332025,1995-10-27 00:00:00,49800000,112,Leaving Las Vegas,7.1,365,7200000,t,100,990,82,1567,313,6155,1203,8055,909,5245,24619,90290.5,3.6675128965433204
26,0,16420,tt0114057,en,Othello,1.845899,1995-12-15 00:00:00,0,123,Othello,7,33,0,t,19,71,9,155,58,906,160,1082,70,486,3016,10900,3.614058355437666
27,12000000,9263,tt0114011,en,Now and Then,8.681325,1995-10-20 00:00:00,27400000,100,Now and Then,6.6,91,24000000,t,11,43,14,153,60,680,122,466,51,250,1850,6336,3.424864864864865
28,0,17015,tt0114117,en,Persuasion,2.228434,1995-09-27 00:00:00,0,104,Persuasion,7.4,36,0,t,15,40,7,99,29,570,135,1215,167,1121,3398,13727.5,4.039876397881106
29,18000000,902,tt0112682,fr,La Cité des Enfants Perdus,9.822423,1995-05-16 00:00:00,1738611,108,The City of Lost Children,7.6,308,36000000,f,86,210,79,399,213,1309,823,3008,1173,2597,9897,38805,3.920885116702031
30,0,37557,tt0115012,zh,摇啊摇，摇到外婆桥,1.100915,1995-04-30 00:00:00,0,108,Shanghai Triad,6.5,17,0,t,5,50,2,70,9,407,51,483,23,255,1355,4928,3.63690036900369
31,0,9909,tt0112792,en,Dangerous Minds,9.481338,1995-08-11 00:00:00,180000000,99,Dangerous Minds,6.4,249,0,t,131,374,238,987,717,4157,1155,2601,366,912,11638,37687.5,3.238314143323595
32,29500000,63,tt0114746,en,Twelve Monkeys,12.297305,1995-12-29 00:00:00,168840000,129,Twelve Monkeys,7.4,2470,59000000,t,142,650,155,1806,712,10380,4124,18648,5528,11253,53398,207652.5,3.888769242293719
33,0,78802,tt0114952,fr,"Guillaumet, les ailes du courage",0.745542,1996-09-18 00:00:00,0,50,Wings of Courage,6.8,4,0,t,2,4,,12,2,25,4,18,,5,,,
34,30000000,9598,tt0112431,en,Babe,14.404764,1995-07-18 00:00:00,254134910,89,Babe,6,756,60000000,t,462,1205,450,2186,1262,8112,2238,10324,1031,7968,35238,127582.5,3.6205942448493103
35,0,47018,tt0112637,en,Carrington,1.493361,1995-11-08 00:00:00,0,121,Carrington,6.4,16,0,t,5,56,4,129,17,527,24,560,13,231,1566,5483.5,3.5015964240102173
36,11000000,687,tt0112818,en,Dead Man Walking,6.891317,1995-12-29 00:00:00,39363635,122,Dead Man Walking,7.3,350,22000000,t,60,288,53,745,267,4992,1209,8600,937,6600,23751,93379,3.9315818281335524
37,0,139405,tt0112286,en,Across the Sea of Time,0.114469,1995-10-20 00:00:00,0,51,Across the Sea of Time,3.5,2,0,t,4,10,,14,2,27,3,20,4,6,,,
38,0,33689,tt0113442,en,It Takes Two,7.777735,1995-11-17 00:00:00,0,101,It Takes Two,6.1,149,0,t,25,88,15,96,35,197,30,108,11,79,684,1975,2.8874269005847952
39,12000000,9603,tt0112697,en,Clueless,9.882383,1995-07-19 00:00:00,0,97,Clueless,6.9,828,24000000,f,264,917,352,2147,1068,8983,2296,8484,830,3341,28682,97902,3.4133602956558122
40,0,34615,tt0112749,en,"Cry, the Beloved Country",0.894647,1995-12-15 00:00:00,676525,106,"Cry, the Beloved Country",6.7,13,0,t,2,29,3,59,13,272,31,334,8,193,944,3446.5,3.6509533898305087
41,0,31174,tt0114279,en,Richard III,4.561387,1995-12-29 00:00:00,0,104,Richard III,6.9,50,0,t,15,98,3,206,36,1207,135,1964,146,1261,5071,19523.5,3.850029579964504
42,10000000,11443,tt0112819,en,Dead Presidents,9.87957,1995-10-06 00:00:00,0,119,Dead Presidents,6.6,80,20000000,f,15,154,20,391,69,1116,128,551,25,138,2607,7948.5,3.0489067894131185
43,19000000,35196,tt0114272,en,Restoration,10.979269,1995-12-29 00:00:00,0,117,Restoration,6.3,30,38000000,f,4,87,4,207,25,995,65,915,6,348,2656,9211,3.4679969879518073
44,18000000,9312,tt0113855,en,Mortal Kombat,10.870138,1995-08-18 00:00:00,122195920,101,Mortal Kombat,5.4,452,36000000,t,677,1466,633,2110,945,3898,746,1635,144,586,12840,33759.5,2.6292445482866045
45,20000000,577,tt0114681,en,To Die For,10.448481,1995-05-20 00:00:00,21284514,106,To Die For,6.7,177,40000000,f,55,394,75,803,257,3243,611,3007,254,933,9632,32486,3.372715946843854
46,10000000,11861,tt0113347,en,How To Make An American Quilt,4.485958,1995-10-06 00:00:00,23574130,116,How To Make An American Quilt,6.5,38,20000000,t,26,128,28,351,82,1364,102,880,19,345,3325,10869.5,3.2690225563909774
47,33000000,807,tt0114369,en,Se7en,18.45743,1995-09-22 00:00:00,327311859,127,Se7en,8.1,5915,66000000,t,196,667,149,1190,629,6565,3848,17081,7747,14586,52658,214219.5,4.068128299593604
48,55000000,10530,tt0114148,en,Pocahontas,13.280069,1995-06-14 00:00:00,346079773,81,Pocahontas,6.7,1509,110000000,t,502,994,526,2012,1222,5135,1405,2740,393,967,15896,46999,2.9566557624559637
49,0,8391,tt0114916,en,When Night Is Falling,3.302524,1995-05-05 00:00:00,0,96,When Night Is Falling,5.9,10,0,t,3,9,3,23,4,64,18,78,8,52,262,934,3.564885496183206
50,6000000,629,tt0114814,en,The Usual Suspects,16.302466,1995-07-19 00:00:00,23341568,106,The Usual Suspects,8.1,3334,12000000,t,190,312,129,759,581,4480,3563,16374,9032,23851,59271,254876.5,4.300188962561792
51,0,117164,tt0109950,en,Guardian Angel,0.595949,1994-11-22 00:00:00,0,93,Guardian Angel,6.3,3,0,t,1,5,2,7,1,11,,5,,2,,,
