,crew_id,name
64,34424,Aaron Zigman
17,1163,Alan Menken
3,123,Alan Silvestri
60,28923,Alexandre Desplat
78,56971,Andrew Lockington
83,74961,Atticus Ross
30,2779,Basil Poledouris
77,56645,Benjamin Wallfisch
38,6037,Bill Conti
31,2818,Brad Fiedel
67,35400,Brian Tyler
36,3957,Bruce Broughton
29,2477,Carter Burwell
74,50221,Charlie Clouser
54,19071,Christophe Beck
72,47761,Christopher Lennertz
11,524,Christopher Young
52,16801,Clint Mansell
55,22626,Craig Armstrong
87,87271,Daniel Pemberton
13,1021,Danny Elfman
50,16681,Dario Marianelli
37,4333,David Arnold
80,67070,David Buckley
51,16690,David Holmes
12,1012,David Kitay
34,3382,David Newman
1,24,Don Davis
4,131,Elliot Goldenthal
28,2248,Elmer Bernstein
35,3453,Ennio Morricone
43,11362,Gabriel Yared
71,45483,Geoff Zanelli
24,1841,George Fenton
14,1036,George S. Clinton
23,1442,Graeme Revell
26,1891,Hans Zimmer
49,15884,Harald Kloser
42,10897,Harold Faltermeyer
62,29720,Heitor Pereira
81,70999,Henry Jackman
16,1079,Howard Shore
25,1859,J. Peter Robinson
2,99,James Horner
21,1344,James Newton Howard
57,24861,Jeff Danna
76,56325,Joby Talbot
6,258,John Debney
41,10769,John Morris
18,1205,John Ottman
68,35833,John Paesano
46,14278,John Powell
5,200,John Williams
56,22986,Jon Brion
63,33794,Joseph Bishara
65,35012,Junkie XL
58,26478,Klaus Badelt
84,79440,Lorne Balfe
79,57806,Lyle Workman
7,309,Marc Shaiman
59,26485,Marc Streitenfeld
66,35073,Marcelo Zarvos
45,13202,Marco Beltrami
19,1292,Mark Isham
10,470,Mark Mancina
27,1955,Mark Mothersbaugh
85,79757,Matthew Margeson
33,3127,Maurice Jarre
75,50279,Michael Giacchino
22,1351,Michael Kamen
47,14893,Mychael Danna
8,361,Patrick Doyle
86,84719,Pinar Toprak
32,2989,Rachel Portman
73,49319,Ramin Djawadi
20,1317,Randy Edelman
0,15,Randy Newman
82,72164,Rob Simonsen
9,369,Robert Rodriguez
44,13111,Rolfe Kent
69,40086,Rupert Gregson-Williams
70,43003,Steve Jablonsky
48,15849,Teddy Castellucci
39,6552,Terence Blanchard
53,18098,Theodore Shapiro
15,1065,Thomas Newman
40,10216,Trevor Rabin
61,29569,Tyler Bates
