,crew_id,name
64,18948,Adam Shankman
27,2576,Andrew Adamson
2,2,Andrew Stanton
78,37279,Anthony Russo
60,15821,Antoine Fuqua
33,3451,Barry Levinson
13,495,Barry Sonnenfeld
52,7149,Bill Condon
35,3515,Bobby Farrelly
69,21953,Brad Bird
58,14607,Brett Ratner
17,1198,Bryan Singer
83,43149,Byron Howard
71,23027,Carlos Saldanha
16,1166,Chris Buck
30,2915,Chris Columbus
94,77610,Chris Renaud
90,60026,Christopher Miller
68,20768,Christopher Nolan
21,1974,Clint Eastwood
75,30157,Conrad Vernon
15,1088,David Fincher
89,57711,David Yates
20,1965,Dennis Dugan
63,18947,Eric Darnell
18,1438,F. Gary Gray
86,55416,Francis Lawrence
95,78932,Gareth Edwards
36,3585,Garry Marshall
49,5369,Gary Ross
39,3766,George Lucas
59,15450,Gore Verbinski
67,20557,Guy Ritchie
38,3739,Ivan Reitman
53,7200,J.J. Abrams
62,16224,Jake Kasdan
31,3036,James Cameron
55,9958,James Gunn
54,7833,James Mangold
85,50218,James Wan
57,13830,Jay Roach
92,76328,Jennifer Lee
4,100,Joe Johnston
79,37280,Joe Russo
25,2486,Joel Schumacher
0,0,John Lasseter
51,6756,John Musker
56,10564,Jon Favreau
46,4580,Jon Turteltaub
98,115905,Jon Watts
1,1,Joss Whedon
82,40141,Justin Lin
61,16043,M. Night Shyamalan
7,260,Martin Campbell
10,351,Martin Scorsese
32,3105,Matt Reeves
23,2313,Michael Bay
72,24240,Mike Mitchell
22,2303,Mike Nichols
9,332,Oliver Stone
66,19826,Paul Greengrass
3,18,Pete Docter
65,19645,Peter Berg
34,3507,Peter Farrelly
37,3711,Peter Jackson
44,4544,Peter Segal
74,27849,Peyton Reed
91,73195,Phil Lord
93,77609,Pierre Coffin
12,370,Quentin Tarantino
29,2912,Raja Gosnell
81,39172,Rian Johnson
96,90803,Rich Moore
14,537,Richard Donner
19,1805,Ridley Scott
80,38785,Rob Marshall
48,4926,Rob Minkoff
11,369,Robert Rodriguez
43,4506,Robert Zemeckis
42,4331,Roland Emmerich
50,6755,Ron Clements
24,2382,Ron Howard
97,95641,Ryan Coogler
70,22440,Sam Mendes
41,4205,Sam Raimi
76,34253,Shawn Levy
6,249,Stephen Sommers
45,4557,Steven Soderbergh
8,318,Steven Spielberg
5,198,Sydney Pollack
26,2487,Tim Burton
77,37047,Tim Story
73,26458,Todd Phillips
88,56725,Tom McGrath
47,4623,Tom Shadyac
28,2655,Tony Scott
87,55619,Tyler Perry
40,4027,Wolfgang Petersen
84,45594,Zack Snyder
